 Y	X	Cat	D1	D2	D3
1.78	2.06	1	1	0	0
4.35	2.69	3	0	0	1
7.6	3.25	2	0	1	0
3.36	2.09	3	0	0	1
4.79	3.31	3	0	0	1
3.73	2.8	1	1	0	0
0.39	0.3	3	0	0	1
2.67	2.31	1	1	0	0
3.22	1.43	2	0	1	0
4.68	2.98	1	1	0	0
3.31	1.52	3	0	0	1
4.21	3.08	1	1	0	0
6.61	2.16	3	0	0	1
3.87	2.14	3	0	0	1
6.44	2.16	2	0	1	0
7.9	3.73	2	0	1	0
7.3	3.78	3	0	0	1
3.67	2.23	3	0	0	1
2.03	1.72	1	1	0	0
5.11	3.59	1	1	0	0
8.41	3.6	2	0	1	0
12.31	5.92	1	1	0	0
6.74	2.88	2	0	1	0
2.83	1.6	3	0	0	1
3.56	3	1	1	0	0
2.66	1.51	1	1	0	0
9.61	4.22	2	0	1	0
3.24	2.44	1	1	0	0
8.95	4.87	1	1	0	0
7.68	3.35	2	0	1	0
11.96	4.33	2	0	1	0
4.67	2.51	1	1	0	0
5.04	1.73	2	0	1	0
4.6	2.62	3	0	0	1
11.05	4.4	3	0	0	1
1.52	2.14	3	0	0	1
6.44	3.47	3	0	0	1
9.83	4.8	3	0	0	1
7.5	3.52	2	0	1	0
4.01	1.63	2	0	1	0
8.07	3.75	1	1	0	0
11.14	5.56	2	0	1	0
7.79	3.83	1	1	0	0
2.59	1.41	3	0	0	1
4.13	1.06	2	0	1	0
4.89	2.81	3	0	0	1
6.65	2.76	3	0	0	1
6.7	3.32	3	0	0	1
7.41	2.89	2	0	1	0
1.83	1.08	2	0	1	0
