Obs	Sex	Height	LeftArm	RtArm	LeftFoot	RtFoot	LeftHand	RtHand	HeadCirc	nose
1	Male	69	25.5	25.5	27	26.5	9.5	9	58.5	5.5
2	Male	79	28	25	29	27.5	9	9	54	5
3	Male	75	27	27.5	31	32	3.75	3.75	62.5	5
4	Male	69	25	25.5	25.5	25.5	10	8	58.5	5.5
5	Male	65	25	25	23.5	23	9.5	9.4	57	4.4
6	Male	79	30.5	30.5	28	28	8.5	8.5	58.5	4.5
7	Male	72	26.5	26.5	28.5	28.5	9.5	9.5	60.5	4.2
8	Male	69.5	26.5	27	27	27	10	10.5	58.5	5
9	Male	73	28	28.4	30.6	31.4	8.5	8.9	57.4	6.4
10	Male	71.5	28.6	28.1	27.4	28.5	9.8	9.4	56.5	4.1
11	Male	69.5	27	27	27	27	9	9	58.5	5
12	Male	73	23	23	28.5	27.5	8.5	9	59.5	5
13	Male	71	28	27	29	27	8	8	59	6
14	Male	74	28	27	29	30	10	10	58.5	5
15	Male	75	31	28	28	29	8.1	8.4	59	6
16	Male	71	23.5	23	27	27.5	9.5	10	57	5.5
17	Male	72	28.5	28	26.5	27.5	11.5	11.5	58	6.5
18	Male	66	24	25	25.5	26	8	8.5	57	5
19	Male	71	26	26	29	28	9	9	55	5
20	Male	67	25.5	25.5	27.2	27	7.7	7.7	54	5.5
21	Male	71	29.5	28.5	29	28.5	9	9.5	57.5	5.5
22	Male	72	25.5	25	28	28	9.5	9.5	56	5.3
23	Male	72	25	26	28.5	29	8.5	9	61	4.5
24	Male	73.5	26	28.5	29	30	9.5	9.9	62	5
25	Male	73	30	29	23.5	24	9	9.5	58	6
26	Female	62	22.5	23	21.5	21	8.3	7.3	56.5	5.1
27	Female	66	24	25	24	25	8.5	8.5	53	6
28	Female	64.5	22.5	21.5	23.3	23	7.5	7.5	56	4
29	Female	64.5	24.5	24.5	25	25.5	8	8	55	5
30	Female	67	25	25	25.5	25	8	8	57	6.5
31	Female	72	28	28	26.2	25.7	9.1	8.5	56.5	4.3
32	Female	64	24	23.5	23.5	23.5	7.5	7	54	4.5
33	Female	69	28	25.5	26.5	26	7.5	7.5	58	4.5
34	Female	63	22	22	24	25	7	7	53	4
35	Female	64	24	24	21	21	7	7	56	5
36	Female	67	26	27	22	22	7.5	7.2	54	4
37	Female	63	25	26.5	24	23	7	6.5	54.5	5
38	Female	67	23	23	23	23	6.5	6.5	56	5
39	Female	66	25.5	25.5	24	25.5	9.5	10	54	4
40	Female	66	25.5	25.5	23	23	7	7	55.9	5
41	Female	64	23.5	24	22	22.6	7.6	7.5	58.2	4.9
42	Female	67	23.3	24	24.5	23.5	8.2	8.2	56	4.7
43	Female	71	25.5	28	25.5	28	7.5	8.5	58	5
44	Female	65	23.5	23	24	23.5	7.6	7.6	58	5
45	Female	68	25	25	25	24.5	8	8	56	4.5
46	Female	61.5	23	23	23	24	8	8.5	56	4.5
47	Female	62	23.5	23.5	23.5	23	8	8	57	4.5
48	Female	62.5	24	24	24	24	7	7	61	4
49	Female	68	25.5	25	25.5	25	10	9	53.5	4
50	Female	65	22.5	23	22.9	23.2	7.5	7.4	57	4.5
51	Female	61	22.2	22.2	22	22.2	6.9	6.9	55.2	4.7
52	Female	63	23	23	24	23	7.5	8	53	5
53	Female	71	25.5	28	25.5	28	7.5	7.5	54.5	5
54	Female	68	24.5	24.5	24.5	25.5	7	6.5	57.8	4.5
55	Female	62	26	26	23	23	6	6	56	5
