Bird Type  Vent  O2  CO2
  1     0   -49  19  0.0
  2     0     0  19  0.0
  3     0   -98  19  0.0
  4     0   148  19  0.0
  5     0    49  19  0.0
  6     0    49  19  0.0
  7     0   -24  19  3.0
  8     0    25  19  3.0
  9     0  -123  19  3.0
 10     0   222  19  3.0
 11     0   123  19  3.0
 12     0    74  19  3.0
 13     0    11  19  4.5
 14     0    60  19  4.5
 15     0   -88  19  4.5
 16     0   306  19  4.5
 17     0   158  19  4.5
 18     0   158  19  4.5
 19     0    56  19  6.0
 20     0   105  19  6.0
 21     0  -141  19  6.0
 22     0   400  19  6.0
 23     0   253  19  6.0
 24     0   203  19  6.0
 25     0   146  19  9.0
 26     0   244  19  9.0
 27     0   -51  19  9.0
 28     0   687  19  9.0
 29     0   441  19  9.0
 30     0   392  19  9.0
 31     0    61  17  0.0
 32     0    61  17  0.0
 33     0   160  17  0.0
 34     0    12  17  0.0
 35     0   -86  17  0.0
 36     0   -37  17  0.0
 37     0   -11  17  3.0
 38     0   136  17  3.0
 39     0  -110  17  3.0
 40     0   235  17  3.0
 41     0    87  17  3.0
 42     0    38  17  3.0
 43     0   169  17  4.5
 44     0   317  17  4.5
 45     0    22  17  4.5
 46     0    71  17  4.5
 47     0   169  17  4.5
 48     0   -77  17  4.5
 49     0   413  17  6.0
 50     0  -128  17  6.0
 51     0   266  17  6.0
 52     0   118  17  6.0
 53     0    69  17  6.0
 54     0   216  17  6.0
 55     0   -46  17  9.0
 56     0   446  17  9.0
 57     0   397  17  9.0
 58     0   249  17  9.0
 59     0   692  17  9.0
 60     0   151  17  9.0
 61     0    73  15  0.0
 62     0   -74  15  0.0
 63     0   172  15  0.0
 64     0   -25  15  0.0
 65     0    73  15  0.0
 66     0    24  15  0.0
 67     0   -98  15  3.0
 68     0   148  15  3.0
 69     0    99  15  3.0
 70     0   247  15  3.0
 71     0    50  15  3.0
 72     0     1  15  3.0
 73     0   180  15  4.5
 74     0   180  15  4.5
 75     0    33  15  4.5
 76     0   -66  15  4.5
 77     0    82  15  4.5
 78     0   328  15  4.5
 79     0   574  15  6.0
 80     0   131  15  6.0
 81     0   328  15  6.0
 82     0   279  15  6.0
 83     0    33  15  6.0
 84     0  -164  15  6.0
 85     0     8  15  9.0
 86     0   205  15  9.0
 87     0   549  15  9.0
 88     0   254  15  9.0
 89     0   402  15  9.0
 90     0   352  15  9.0
 91     0   183  13  0.0
 92     0   -63  13  0.0
 93     0   -14  13  0.0
 94     0    84  13  0.0
 95     0    84  13  0.0
 96     0    35  13  0.0
 97     0    14  13  3.0
 98     0   -85  13  3.0
 99     0    63  13  3.0
100     0   112  13  3.0
101     0   161  13  3.0
102     0   260  13  3.0
103     0   192  13  4.5
104     0   -54  13  4.5
105     0   192  13  4.5
106     0   340  13  4.5
107     0    45  13  4.5
108     0    94  13  4.5
109     0   439  13  6.0
110     0    95  13  6.0
111     0  -102  13  6.0
112     0   292  13  6.0
113     0   242  13  6.0
114     0   144  13  6.0
115     0   701  13  9.0
116     0   406  13  9.0
117     0   258  13  9.0
118     0   160  13  9.0
119     0   455  13  9.0
120     0   -37  13  9.0
121     1   -99  19  0.0
122     1   -35  19  0.0
123     1   207  19  0.0
124     1  -130  19  0.0
125     1  -130  19  0.0
126     1   250  19  0.0
127     1   -34  19  3.0
128     1  -202  19  3.0
129     1  -310  19  3.0
130     1   -34  19  3.0
131     1   -11  19  3.0
132     1   186  19  3.0
133     1   256  19  4.5
134     1   -20  19  4.5
135     1   227  19  4.5
136     1   331  19  4.5
137     1    56  19  4.5
138     1   232  19  4.5
139     1   220  19  6.0
140     1    15  19  6.0
141     1   272  19  6.0
142     1   235  19  6.0
143     1   505  19  6.0
144     1    65  19  6.0
145     1   124  19  9.0
146     1    76  19  9.0
147     1   536  19  9.0
148     1   346  19  9.0
149     1   313  19  9.0
150     1     5  19  9.0
151     1   118  17  0.0
152     1  -193  17  0.0
153     1   150  17  0.0
154     1   251  17  0.0
155     1   150  17  0.0
156     1   -68  17  0.0
157     1   105  17  3.0
158     1   155  17  3.0
159     1   158  17  3.0
160     1    85  17  3.0
161     1   314  17  3.0
162     1  -263  17  3.0
163     1    -3  17  4.5
164     1   -41  17  4.5
165     1   140  17  4.5
166     1    54  17  4.5
