x	y
0	5.21463
0	4.94177
0	5.04776
0	5.70966
0	6.69841
0	6.73942
0	4.36799
0	4.96628
0	6.5155
0	7.38274
0	3.77339
0	4.94071
0	6.71714
0	3.78993
0	3.91666
0	3.91774
0	5.41953
0	6.6826
0	5.18938
0	5.53279
0	7.39483
0	5.70678
0	3.63899
0	4.11438
0	5.09638
0	4.92151
0	6.52166
0	5.72676
0	5.92925
0	4.17871
0	4.43004
0	4.50354
0	4.90915
0	5.04781
0	2.56271
0	5.34561
0	5.76475
0	5.80951
0	5.57363
0	4.93356
0	5.38857
0	8.00062
0	6.71609
0	3.81119
0	4.12588
0	5.51791
0	2.78689
0	4.52594
0	3.50765
0	5.37382
1	5.34669
1	6.46674
1	5.33906
1	6.71164
1	3.53838
1	7.44175
1	5.92378
1	4.13704
1	6.48694
1	6.55923
1	7.00444
1	5.38296
1	3.49395
1	5.7426
1	3.52887
1	4.85854
1	4.45851
1	6.93538
1	4.27526
1	4.05514
1	5.02235
1	5.03866
1	4.78759
1	5.09373
1	3.86061
1	6.1143
1	8.29494
1	4.89044
1	4.94048
1	5.76334
1	3.49955
1	5.16596
1	6.29333
1	4.7226
1	4.88786
1	5.05738
1	5.75211
1	3.3725
1	3.50537
1	4.6479
1	3.41699
1	5.00303
1	6.76237
1	2.91221
1	4.92455
1	7.4181
1	5.44959
1	5.34658
1	5.76077
1	5.43782
2	5.47961
2	6.16779
2	5.15998
2	5.91178
2	3.4709
2	6.32241
2	4.85307
2	3.16896
2	5.51108
2	4.66739
2	6.03026
2	5.10114
2	4.19855
2	6.21469
2	6.11642
2	3.89829
2	6.62434
2	5.9161
2	4.31809
2	5.32568
2	5.13019
2	5.11017
2	4.24924
2	6.4047
2	6.11739
2	4.81208
2	5.71651
2	4.94251
2	7.91465
2	4.54476
2	5.88589
2	5.829
2	4.415
2	4.54081
2	4.09243
2	5.77476
2	4.86762
2	4.16545
2	5.34856
2	6.22882
2	5.46072
2	4.36892
2	4.18864
2	4.07132
2	4.5626
2	5.07167
2	5.37484
2	6.12128
2	4.9889
2	6.37362
3	6.46927
3	5.8504
3	7.02482
3	6.97276
3	6.01371
3	4.05439
3	4.91258
3	4.95519
3	3.96364
3	2.55217
3	4.54443
3	6.39115
3	3.90239
3	4.7982
3	5.84222
3	6.07486
3	4.49186
3	2.97259
3	7.47986
3	5.45415
3	7.09306
3	4.99271
3	6.52716
3	5.40702
3	4.44841
3	6.99505
3	6.94939
3	4.56891
3	3.25287
3	3.80128
3	6.26177
3	4.51298
3	5.65473
3	6.00927
3	6.43309
3	5.18979
3	4.53217
3	5.72448
3	5.26003
3	5.29788
3	6.21118
3	4.62559
3	6.62388
3	6.14691
3	5.5434
3	5.86706
3	4.74853
3	6.36731
3	5.48835
3	5.64149
4	5.10909
4	4.63557
4	5.70036
4	7.68537
4	6.78161
4	5.39284
4	4.13167
4	7.03039
4	5.21645
4	5.05398
4	5.24824
4	7.67495
4	5.79662
4	6.27589
4	5.17353
4	4.81601
4	4.88523
4	6.58837
4	6.83199
4	5.92028
4	3.4954
4	3.64162
4	6.24025
4	3.64794
4	5.62026
4	5.34108
4	6.57318
4	5.52024
4	6.92651
4	4.49949
4	6.96888
4	6.24087
4	5.4383
4	4.91086
4	6.02815
4	4.33175
4	7.88033
4	4.65132
4	5.36903
4	5.94838
4	5.02029
4	5.29863
4	4.9859
4	4.91486
4	5.72064
4	6.18669
4	5.24196
4	5.76824
4	5.1232
4	2.70579
5	5.42219
5	6.55999
5	3.80175
5	7.55663
5	6.45248
5	4.36519
5	6.35925
5	6.24099
5	6.47637
5	6.73732
5	5.33552
5	6.3691
5	4.79738
5	5.40764
5	4.54461
5	4.61066
5	5.05064
5	3.3318
5	6.79136
5	4.14762
5	4.09328
5	3.40148
5	6.40722
5	5.00812
5	5.50874
5	5.45212
5	7.509
5	4.58036
5	5.66221
5	2.93096
5	4.81383
5	4.45315
5	5.47761
5	4.6606
5	4.76753
5	4.98377
5	5.55435
5	4.83561
5	6.58371
5	7.1703
5	3.46295
5	4.43364
5	5.81223
5	6.77412
5	5.32238
5	4.93733
5	5.34585
5	5.70442
5	5.73862
5	5.93597
6	6.05228
6	5.90093
6	7.29042
6	5.14078
6	6.25197
6	5.99207
6	5.88833
6	3.77657
6	4.89727
6	5.39532
6	4.51562
6	4.95691
6	4.23838
6	5.89505
6	6.43513
6	4.44913
6	3.99078
6	6.65376
6	4.31291
6	7.9425
6	5.24514
6	6.21213
6	5.7095
6	5.63411
6	5.49065
6	5.78545
6	5.24399
6	6.8691
6	6.78915
6	5.94595
6	5.70642
6	5.04841
6	5.65429
6	5.749
6	5.14514
6	3.52389
6	5.51192
6	6.43035
6	5.73175
6	5.06311
6	5.24019
6	6.33031
6	5.99179
6	7.17069
6	3.35482
6	4.77722
6	4.8135
6	5.73023
6	6.67248
6	5.69516
7	4.70154
7	5.52942
7	4.70408
7	5.71268
7	6.8393
7	5.15291
7	5.07443
7	6.72816
7	6.07333
7	5.06471
7	4.93875
7	6.55711
7	6.74717
7	3.89937
7	5.75639
7	4.35911
7	6.26423
7	4.70216
7	5.61205
7	6.36245
7	4.30276
7	5.15582
7	5.31363
7	3.95245
7	6.8576
7	6.45625
7	5.88798
7	4.17786
7	5.70627
7	5.67509
7	7.29382
7	5.1906
7	5.88799
7	3.8767
7	4.19938
7	4.07646
7	5.63573
7	4.48423
7	8.38
7	4.68425
7	4.51181
7	3.88214
7	5.93414
7	5.86431
7	5.92395
7	5.94143
7	6.04831
7	6.55022
7	4.81808
7	3.95201
8	5.64819
8	6.4708
8	5.39963
8	4.91282
8	6.64086
8	6.88148
8	6.75914
8	5.29028
8	6.27681
8	6.21845
8	5.39728
8	5.44506
8	6.96263
8	6.40455
8	4.23758
8	4.28054
8	5.74011
8	5.64452
8	5.52884
8	6.95747
8	7.94272
8	5.1903
8	5.53802
8	5.60631
8	5.60502
8	4.63386
8	5.75203
8	5.60524
8	5.86516
8	5.81907
8	6.90992
8	6.88063
8	5.02265
8	5.67911
8	5.24652
8	6.77475
8	1.44232
8	6.14197
8	4.37424
8	6.20009
8	5.78243
8	3.80773
8	6.98259
8	7.17497
8	6.21303
8	7.2135
8	6.56411
8	4.71033
8	7.76141
8	5.31058
9	6.34721
9	7.43449
9	5.63043
9	6.70229
9	7.85791
9	4.87378
9	5.42516
9	4.13914
9	5.13281
9	6.99166
9	7.06533
9	5.11989
9	5.8971
9	4.468
9	5.71206
9	5.77382
9	6.13336
9	5.91484
9	6.53189
9	5.13974
9	7.08925
9	6.71765
9	6.38077
9	6.80112
9	5.73457
9	6.78878
9	4.82334
9	6.58461
9	5.75458
9	4.97655
9	5.10516
9	5.37627
9	4.94158
9	4.26179
9	6.92125
9	4.9477
9	5.23
9	5.58121
9	5.93749
9	4.07895
9	5.74128
9	6.90948
9	5.00291
9	3.8162
9	6.57574
9	6.3697
9	7.17128
9	4.10802
9	5.95872
9	3.7396
10	4.76088
10	4.73871
10	6.19726
10	6.40537
10	5.72256
10	4.21658
10	5.53853
10	5.21616
10	3.88103
10	5.18041
10	5.90231
10	5.6552
10	5.86145
10	5.51072
10	6.38674
10	6.98419
10	5.34914
10	4.99799
10	6.11421
10	5.9555
10	6.75556
10	6.72206
10	7.02516
10	5.86688
10	6.3402
10	5.19422
10	5.35745
10	6.92007
10	5.61981
10	7.03892
10	4.18212
10	7.24724
10	6.07679
10	5.6271
10	7.13961
10	5.34584
10	4.49929
10	6.78163
10	6.41807
10	4.64389
10	5.39385
10	5.96669
10	6.45928
10	5.62521
10	6.20205
10	6.14304
10	5.01965
10	6.13903
10	6.88292
10	7.51949
11	4.63503
11	6.73996
11	5.21418
11	6.16007
11	6.35966
11	5.31722
11	5.3461
11	5.58602
11	5.94681
11	6.54181
11	5.65044
11	6.19256
11	5.49663
11	7.42301
11	4.69583
11	6.39314
11	6.29373
11	4.94155
11	8.80316
11	5.548
11	5.04767
11	6.71907
11	6.1089
11	6.71106
11	6.25488
11	7.17048
11	6.43987
11	3.77521
11	5.47085
11	6.22721
11	6.45271
11	6.72426
11	6.69132
11	4.75844
11	7.33229
11	5.89292
11	5.83249
11	6.64663
11	5.03117
11	4.3516
11	7.0835
11	4.86402
11	7.04577
